repo_full_name,repo_url,policy_files,candidate_count,evidence_group_count,best_candidate_score,matched_ai_terms,matched_policy_terms,has_restrictive_language,evidence_blocks,commit_shas,first_processed_at,last_processed_at,manual_label,manual_notes
aaif-goose/goose,https://github.com/aaif-goose/goose.git,CONTRIBUTING.md,1,1,4,AI-generated,contribution; should; PRs; contributions; contributor; PR,true,"Group 1 | File: CONTRIBUTING.md | Lines: 20 | Heading: Getting Started | AI terms: AI-generated | Policy terms: contribution; should; PRs; contributions; contributor; PR | Best score: 4 | Has restrictive term: true | Paragraphs: 1. [line 20] Your first contribution to goose should probably be a small bug fix. The goose maintainers have a lot of incoming PRs to review, and the reputation of the author is an important signal. While contributions to goose are generally of remarkably high quality, we do get our fair share of AI slop. When a first-time contributor opens a 3k line PR touching 20 files, we have no easy way to tell whether it’s thoughtful work or blindly AI-generated without doing a deep dive.",c1d50e234baa48409fc83702fa4acdb105a8c62a,2026-05-22T15:29:28.796301Z,2026-05-22T15:29:28.796301Z,,
actualbudget/actual,https://github.com/actualbudget/actual.git,CONTRIBUTING.md,1,1,3,AI tools,Policy,false,"Group 1 | File: CONTRIBUTING.md | Lines: 3 | Heading:  | AI terms: AI tools | Policy terms: Policy | Best score: 3 | Has restrictive term: false | Paragraphs: 1. [line 3] If you plan to use AI tools when contributing, please also read our [AI Usage Policy](https://actualbudget.org/docs/contributing/ai-usage-policy).",e1e4fece908a989c0da7fb43ab64e48c94a7782e,2026-05-22T15:51:18.819742Z,2026-05-22T15:51:18.819742Z,,
agno-agi/agno,https://github.com/agno-agi/agno.git,.github/pull_request_template.md && CONTRIBUTING.md,4,3,4,AI-Generated; LLM,PR; pull requests; must; should; PRs; submitting; disclose; contribution; Submit; pull request,true,"Group 1 | File: .github/pull_request_template.md | Lines: 28, 32 | Heading: Duplicate and AI-Generated PR Check | AI terms: AI-Generated | Policy terms: PR; pull requests | Best score: 3 | Has restrictive term: false | Paragraphs: 1. [line 28] ### Duplicate and AI-Generated PR Check || 2. [line 32] - [ ] I have searched existing [open pull requests](../../pulls) and confirmed that no other PR already addresses this issue - [ ] If a similar PR exists, I have explained below why this PR is a better approach - [ ] Check if this PR was entirely AI-generated (by Copilot, Claude Code, Cursor, etc.) ### Group 2 | File: CONTRIBUTING.md | Lines: 25 | Heading: Pull Request Guidelines | AI terms: AI-Generated | Policy terms: PR; must; should; PRs; submitting; pull requests; disclose; contribution | Best score: 4 | Has restrictive term: true | Paragraphs: 1. [line 25] 1. **Title Format:** Your PR title must start with a type tag enclosed in square brackets, followed by a space and a concise subject. - Example: `[feat] Add user authentication` - Valid types: `[feat]`, `[fix]`, `[cookbook]`, `[test]`, `[refactor]`, `[chore]`, `[style]`, `[revert]`, `[release]`. 2. **Link to Issue:** The PR description should ideally reference the issue it addresses using keywords like `fixes #<issue_number>`, `closes #<issue_number>`, or `resolves #<issue_number>`. - Example: `This PR fixes #42 by implementing the new login flow.` 3. **No Duplicate PRs:** Before submitting, search the [open pull requests](https://github.com/agno-agi/agno/pulls) to confirm no one else is already working on the same issue. If a similar PR exists, explain in your description why your approach is better. 4. **Respect Assigned Issues:** If a GitHub issue is already assigned to someone, do not open a PR for it without first asking the maintainers in the issue comments and getting confirmation. This helps reduce noise and avoids duplicate effort. 5. **AI-Generated PRs:** If your PR was entirely generated by an AI tool (Copilot, Claude Code, Cursor, etc.), you must disclose this in the PR template. AI-generated PRs are held to the same quality bar as any other contribution - they must include tests, pass CI, and demonstrate that the author has reviewed and understands the changes. Low-effort AI-generated PRs that don't meet these standards will be closed without review. ### Group 3 | File: CONTRIBUTING.md | Lines: 93 | Heading: Adding a new Model Provider | AI terms: LLM | Policy terms: Submit; pull request | Best score: 2 | Has restrictive term: false | Paragraphs: 1. [line 93] 1. Setup your local environment by following the [Development setup](#development-setup). 2. Create a new directory under `libs/agno/agno/models` for the new Model provider. 3. If the Model provider supports the OpenAI API spec: - Create a Class for your LLM provider that inherits the `OpenAILike` Class from `libs/agno/agno/models/openai/like.py`. - Your Class will be in the `libs/agno/agno/models/<your_model>/<your_model>.py` file. - Import your Class in the `libs/agno/agno/models/<your_model>/__init__.py` file. - Checkout the [`agno/models/together/together.py`](https://github.com/agno-agi/agno/blob/main/libs/agno/agno/models/together/together.py) file for an example. 4. If the Model provider does not support the OpenAI API spec: - Reach out to us on [Discord](https://discord.gg/4MtYHHrgA8) or open an issue to discuss the best way to integrate your LLM provider. - Checkout [`agno/models/anthropic/claude.py`](https://github.com/agno-agi/agno/blob/main/libs/agno/agno/models/anthropic/claude.py) or [`agno/models/cohere/chat.py`](https://github.com/agno-agi/agno/blob/main/libs/agno/agno/models/cohere/chat.py) for inspiration. 5. Add your model provider to `libs/agno/agno/models/utils.py`: - Add a new `elif` clause in the `get_model()` function with your provider name - Use the provider name that matches your module directory (e.g., ""meta"" for `models/meta/`) - Import and return your Model class with the provided `model_id` - This enables users to use the string format: `model=""yourprovider:model-name""` - Example: ```python elif provider == ""yourprovider"": from agno.models.yourprovider import YourModel return YourModel(id=model_id) ``` 6. Add a recipe for using your Model provider under `cookbook/models/<your_model>`. - Checkout [`agno/cookbook/90_models/aws/claude`](https://github.com/agno-agi/agno/tree/main/cookbook/90_models/aws/claude) for an example. - Show both the model class and string syntax in your examples 7. Important: Format and validate your code by running `./scripts/format.sh` and `./scripts/validate.sh`. 8. Submit a pull request.",dfb92986abab352b28e487ae298cc81a8a628fc9,2026-05-22T15:30:42.556253Z,2026-05-22T15:30:42.556253Z,,
Aider-AI/aider,https://github.com/Aider-AI/aider.git,CONTRIBUTING.md,1,1,3,LLM,Contributions; Submit; PR,false,Group 1 | File: CONTRIBUTING.md | Lines: 17 | Heading: LLM Benchmark Results | AI terms: LLM | Policy terms: Contributions; Submit; PR | Best score: 3 | Has restrictive term: false | Paragraphs: 1. [line 17] Contributions of [LLM benchmark results](https://aider.chat/docs/leaderboards/) are welcome! See the [benchmark README](https://github.com/Aider-AI/aider/blob/main/benchmark/README.md) for information on running aider's code editing benchmarks. Submit results by opening a PR with edits to the [benchmark results data files](https://github.com/Aider-AI/aider/blob/main/aider/website/_data/).,5dc9490bb35f9729ef2c95d00a19ccd30c26339c,2026-05-22T15:29:16.184746Z,2026-05-22T15:29:16.184746Z,,
alacritty/alacritty,https://github.com/alacritty/alacritty.git,CONTRIBUTING.md,1,1,4,LLM,Contributions,false,"Group 1 | File: CONTRIBUTING.md | Lines: 160 | Heading: LLM/""AI"" Contributions | AI terms: LLM | Policy terms: Contributions | Best score: 4 | Has restrictive term: false | Paragraphs: 1. [line 160] # LLM/""AI"" Contributions",79adb086002be778cec5d3b90676594bfe2105bb,2026-05-22T15:25:18.452435Z,2026-05-22T15:25:18.452435Z,,
Alamofire/Alamofire,https://github.com/Alamofire/Alamofire.git,CONTRIBUTING.md,2,1,5,AI tool; AI usage,pull requests; must; disclose; PR; should; PRs,true,"Group 1 | File: CONTRIBUTING.md | Lines: 41, 43 | Heading: AI Usage | AI terms: AI tool; AI usage | Policy terms: pull requests; must; disclose; PR; should; PRs | Best score: 5 | Has restrictive term: true | Paragraphs: 1. [line 41] All pull requests must disclose the degree to which they were AI tool assisted and PR descriptions should be human written. AI tools may be used to assist in translation, but care should be taken to ensure the AI output remains accurate to the original text and isn't a restyling of it in the AI's voice, lest it be confused with direct AI output. || 2. [line 43] Failure to disclose AI usage may lead to summary closing of issues and PRs.",7595cbcf59809f9977c5f6378500de2ad73b7ddb,2026-05-22T15:29:51.993210Z,2026-05-22T15:29:51.993210Z,,
anomalyco/opencode,https://github.com/anomalyco/opencode.git,CONTRIBUTING.md,3,3,4,AI-generated,PR; submit; contributions; Required,true,"Group 1 | File: CONTRIBUTING.md | Lines: 206 | Heading: No AI-Generated Walls of Text | AI terms: AI-generated | Policy terms: PR | Best score: 3 | Has restrictive term: false | Paragraphs: 1. [line 206] Long, AI-generated PR descriptions and issues are not acceptable and may be ignored. Respect the maintainers' time: ### Group 2 | File: CONTRIBUTING.md | Lines: 280 | Heading: Denouncement policy | AI terms: AI-generated | Policy terms: submit; contributions | Best score: 4 | Has restrictive term: false | Paragraphs: 1. [line 280] Denouncement is reserved for users who repeatedly submit low-quality AI-generated contributions, spam, or otherwise act in bad faith. It is not used for disagreements or honest mistakes. ### Group 3 | File: CONTRIBUTING.md | Lines: 296 | Heading: Issue Requirements | AI terms: AI-generated | Policy terms: Required | Best score: 4 | Has restrictive term: true | Paragraphs: 1. [line 296] - Not using a template - Required fields left empty or filled with placeholder text - AI-generated walls of text - Missing meaningful content",d92b8d8009daf884c66b14d915167733fc600bbf,2026-05-22T15:19:58.666809Z,2026-05-22T15:19:58.666809Z,,
apache/airflow,https://github.com/apache/airflow.git,.github/PULL_REQUEST_TEMPLATE.md,2,1,3,generative AI,PR,false,"Group 1 | File: .github/PULL_REQUEST_TEMPLATE.md | Lines: 24, 27 | Heading: Was generative AI tooling used to co-author this PR? | AI terms: generative AI | Policy terms: PR | Best score: 3 | Has restrictive term: false | Paragraphs: 1. [line 24] ##### Was generative AI tooling used to co-author this PR? || 2. [line 27] <!-- If generative AI tooling has been used in the process of authoring this PR, please change below checkbox to `[X]` followed by the name of the tool, uncomment the ""Generated-by"". -->",8c2fa492bc13079d68b4ccc151c4d0d3d997442a,2026-05-22T15:28:54.234429Z,2026-05-22T15:28:54.234429Z,,
aseprite/aseprite,https://github.com/aseprite/aseprite.git,.github/PULL_REQUEST_TEMPLATE.md,1,1,3,generative AI,contributions,false,Group 1 | File: .github/PULL_REQUEST_TEMPLATE.md | Lines: 8 | Heading:  | AI terms: generative AI | Policy terms: contributions | Best score: 3 | Has restrictive term: false | Paragraphs: 1. [line 8] I declare that my contributions are not co-authored using a generative AI technology.,ce2db84056069fa62b75379cf2b5485caec0a3bb,2026-05-22T15:31:58.341837Z,2026-05-22T15:31:58.341837Z,,
backstage/backstage,https://github.com/backstage/backstage.git,CONTRIBUTING.md,6,3,5,AI Use; AI tools; AI-generated; LLM,Policy; Submitting; Pull Request; should; submit; PR; PRs; contributors; require; contributions,true,"Group 1 | File: CONTRIBUTING.md | Lines: 17 | Heading: Table of Contents | AI terms: AI Use | Policy terms: Policy; Submitting; Pull Request | Best score: 3 | Has restrictive term: false | Paragraphs: 1. [line 17] - [Code of Conduct](#code-of-conduct) - [Security Issues?](#security-issues) - [Accessibility](#accessibility) - [Get Started!](#get-started) - [Coding Guidelines](#coding-guidelines) - [AI Use Policy and Guidelines](#ai-use-policy-and-guidelines) - [Documentation Guidelines](#documentation-guidelines) - [Package Scripts](#package-scripts) - [Local configuration](#local-configuration) - [Creating Changesets](#creating-changesets) - [Developer Certificate of Origin](#developer-certificate-of-origin) - [API Reports](#api-reports) - [Submitting a Pull Request](#submitting-a-pull-request) - [Review Process](#review-process) ### Group 2 | File: CONTRIBUTING.md | Lines: 132, 136, 138 | Heading: AI Use Policy and Guidelines | AI terms: AI Use; AI tools; AI-generated | Policy terms: Policy; should; submit; PR; PRs | Best score: 5 | Has restrictive term: true | Paragraphs: 1. [line 132] ## AI Use Policy and Guidelines || 2. [line 136] You are encouraged to use tools that help you write good code, including AI tools. However, you always need to understand and explain the changes you're proposing to make, whether or not you used an LLM as part of your process to produce them. The answer to ""Why did you make change X?"" should never be ""I'm not sure. The AI did it."" || 3. [line 138] **Do not submit an AI-generated PR you haven't personally understood and tested**, as this wastes maintainers' time. PRs that appear to violate this guideline will be closed without review. If you do submit a largely AI-generated PR, clearly mark it as such in the description-maintainers may still close it without further review if it does not seem worthwhile. ### Group 3 | File: CONTRIBUTING.md | Lines: 148, 154 | Heading: Using AI for Communication | AI terms: AI-generated; LLM | Policy terms: contributors; require; pull request; PR; contributions | Best score: 4 | Has restrictive term: true | Paragraphs: 1. [line 148] Backstage contributors are expected to communicate with intention, to avoid wasting maintainer time with long, sloppy writing. We strongly prefer clear and concise communication about points that actually require discussion over long AI-generated comments. || 2. [line 154] 1. When writing a pull request description, **do not include anything that's obvious** from looking at your changes directly (e.g., files changed, functions updated, etc.). Instead, focus on the _why_ behind your changes. Don't ask an LLM to generate a PR description on your behalf based on your code changes, as it will simply regurgitate the information that's already there. 2. Similarly, when responding to a pull request comment, **explain _your_ reasoning**. Don't prompt an LLM to re-describe what can already be seen from the code. 3. Verify that **everything you write is accurate**, whether or not an LLM generated any part of it. Backstage's maintainers will be unable to review your contributions if you misrepresent your work (e.g., wrongly describing your code changes, their effect, or your testing process). 4. Complete all parts of the **PR description template**, including screenshots and the checklist. Don't simply overwrite the template with LLM output. 5. **Clarity and succinctness** are much more important than perfect grammar, so you shouldn't feel obliged to pass your writing through an LLM. If you do ask an LLM to clean up your writing style, be sure it does _not_ make it longer in the process. Demand succinctness in your prompt. 6. Quoting an LLM answer is usually less helpful than linking to **relevant primary sources**, like source code, [Backstage documentation](https://backstage.io/docs), or reference materials. If you do need to quote an LLM answer in a discussion, clearly distinguish LLM output from your own thoughts.",db91a8666b738f939dc445d73bedc80dd7a16a9b,2026-05-22T15:47:10.194815Z,2026-05-22T15:47:10.194815Z,,
